#
# ABINIT package : DOS file
#
# nsppol = 1, nkpt = 1012, nband(1)=   7
# Smearing technique, occopt = 3, tsmear= 0.001 Hartree, tphysel= 0.000 Hartree
# For identification : eigen(1:3)=  -0.632  -0.443  -0.442
#
# Fermi energy :      -0.26524251
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell),
# as well as the DOS with tsmear halved and doubled, are computed,
# at  1101 energies (in Hartree) covering the interval
# between   -0.7000 and    0.4000 Hartree by steps of 0.00100 Hartree.
#
#    #   energy        DOS       Integr. DOS        DOS           DOS
#                                               (tsmear/2)    (tsmear*2)
  179  -0.521     32.537940      0.693750        35.215        31.797
  180  -0.520     34.065003      0.727184        35.871        33.316
  181  -0.519     34.505000      0.761499        33.655        34.798
  182  -0.518     35.357690      0.796343        33.207        36.307
  183  -0.517     37.351320      0.832616        36.711        37.898
  184  -0.516     39.589450      0.871130        41.762        39.573
  185  -0.515     41.081517      0.911518        40.921        41.304
  186  -0.514     42.644387      0.953318        40.739        43.065
  187  -0.513     45.168045      0.997146        43.929        44.812
  188  -0.512     48.043129      1.043788        51.100        46.448
  189  -0.511     49.688265      1.092793        50.855        47.868
  190  -0.510     50.189954      1.142778        50.287        49.029
  191  -0.509     50.442351      1.193094        50.659        49.959
  192  -0.508     51.269458      1.243846        47.227        50.688
  193  -0.507     53.214664      1.296058        56.020        51.183
  194  -0.506     53.897298      1.349828        58.207        51.370
  195  -0.505     52.477046      1.403110        51.333        51.238
  196  -0.504     50.848076      1.454741        50.654        50.888
  197  -0.503     49.668925      1.504949        48.381        50.464
  198  -0.502     49.660767      1.554472        46.392        50.044
  199  -0.501     50.829225      1.604705        53.339        49.593
  200  -0.500     50.668389      1.655666        55.389        49.036
  201  -0.499     48.146139      1.705206        47.947        48.385
  202  -0.498     45.698434      1.751987        41.302        47.772
  203  -0.497     45.689096      1.797451        42.115        47.318
  204  -0.496     47.701022      1.844071        49.111        46.983
  205  -0.495     48.800286      1.892541        54.385        46.612
  206  -0.494     46.827257      1.940592        49.474        46.119
  207  -0.493     43.756695      1.985807        38.394        45.597
  208  -0.492     43.015549      2.028930        39.544        45.196
  209  -0.491     45.076507      2.072796        42.818        44.908
  210  -0.490     47.749097      2.119314        53.209        44.518
  211  -0.489     47.440273      2.167256        53.847        43.780
  212  -0.488     43.828421      2.213037        41.802        42.642
  213  -0.487     40.396766      2.255010        37.442        41.275
  214  -0.486     38.588767      2.294399        38.318        39.906
  215  -0.485     37.702069      2.332480        36.075        38.667
  216  -0.484     37.413487      2.370021        38.324        37.574
  217  -0.483     36.514145      2.407096        39.552        36.605
  218  -0.482     34.471294      2.442634        33.044        35.795
  219  -0.481     32.788423      2.476175        31.078        35.266
  220  -0.480     32.260418      2.508608        31.107        35.162
  221  -0.479     32.633042      2.540997        31.987        35.588
  222  -0.478     33.416701      2.574007        34.507        36.589
  223  -0.477     34.841097      2.608009        29.910        38.143
  224  -0.476     38.989348      2.644634        33.660        40.095
  225  -0.475     45.150034      2.686730        51.110        42.122
  226  -0.474     48.041596      2.733787        57.927        43.869
  227  -0.473     46.645682      2.781284        41.524        45.187
  228  -0.472     46.170070      2.827466        42.877        46.174
  229  -0.471     47.318080      2.874206        50.430        47.003
  230  -0.470     47.555386      2.921749        48.723        47.798
  231  -0.469     47.444420      2.969183        44.058        48.640
  232  -0.468     48.920908      3.017203        46.687        49.562
  233  -0.467     51.511702      3.067417        53.737        50.494
  234  -0.466     53.183883      3.119899        55.693        51.303
  235  -0.465     53.192273      3.173208        54.154        51.899
  236  -0.464     52.611332      3.226086        51.102        52.294
  237  -0.463     52.612053      3.278644        52.067        52.557
  238  -0.462     53.139165      3.331485        52.711        52.728
  239  -0.461     53.815853      3.384980        54.481        52.804
  240  -0.460     53.664602      3.438844        57.161        52.789
  241  -0.459     51.799196      3.491705        52.797        52.776
  242  -0.458     49.748502      3.542358        45.256        52.948
  243  -0.457     50.744234      3.592245        43.015        53.422
  244  -0.456     55.443089      3.645162        56.988        54.077
  245  -0.455     58.821633      3.702683        70.264        54.610
  246  -0.454     56.858495      3.760908        58.651        54.828
  247  -0.453     53.280550      3.815861        46.902        54.839
  248  -0.452     52.493394      3.868472        49.445        54.914
  249  -0.451     53.941821      3.921609        54.667        55.230
  250  -0.450     55.302859      3.976306        57.356        55.800
  251  -0.449     55.697587      4.031872        56.146        56.589
  252  -0.448     55.855656      4.087616        54.193        57.600
  253  -0.447     57.138732      4.143968        54.288        58.849
  254  -0.446     60.139875      4.202486        58.769        60.260
  255  -0.445     63.757767      4.264471        66.089        61.655
  256  -0.444     65.520037      4.329376        71.643        62.862
  257  -0.443     63.943287      4.394344        66.180        63.902
  258  -0.442     61.530433      4.456963        55.302        65.037
  259  -0.441     62.085433      4.518444        57.371        66.582
  260  -0.440     66.179785      4.582343        63.583        68.662
  261  -0.439     71.360742      4.651183        76.452        71.147
  262  -0.438     74.477530      4.724321        76.752        73.812
  263  -0.437     75.976278      4.799582        74.906        76.532
  264  -0.436     78.140669      4.876504        74.673        79.284
  265  -0.435     82.528190      4.956631        79.381        81.980
  266  -0.434     88.372829      5.042074        90.850        84.331
  267  -0.433     93.095219      5.132979        96.247        85.875
  268  -0.432     95.388101      5.227451        98.578        86.149
  269  -0.431     94.288253      5.322636       102.115        84.870
  270  -0.430     88.813099      5.414522        91.349        82.073
  271  -0.429     80.832241      5.499423        80.794        78.107
  272  -0.428     73.106957      5.576279        69.218        73.500
  273  -0.427     67.250096      5.646301        65.873        68.749
  274  -0.426     61.972897      5.710976        65.628        64.218
  275  -0.425     56.166991      5.770011        52.386        60.165
  276  -0.424     52.181133      5.823945        47.611        56.766
  277  -0.423     50.906375      5.875312        49.859        54.065
  278  -0.422     50.500711      5.926047        52.832        51.959
  279  -0.421     49.050266      5.975936        50.934        50.299
  280  -0.420     46.859522      6.023877        44.645        49.004
  281  -0.419     45.986582      6.070113        41.897        48.040
  282  -0.418     47.024247      6.116527        48.023        47.326
  283  -0.417     47.871368      6.164083        50.519        46.699
  284  -0.416     47.149087      6.211725        48.625        46.021
  285  -0.415     45.214899      6.257974        45.877        45.280
  286  -0.414     43.032182      6.302066        41.467        44.596
  287  -0.413     41.872543      6.344388        39.154        44.125
  288  -0.412     42.249805      6.386343        41.572        43.952
  289  -0.411     43.322292      6.429114        43.760        44.044
  290  -0.410     44.447994      6.472999        43.705        44.294
  291  -0.409     45.154600      6.517887        48.857        44.602
  292  -0.408     44.592188      6.562847        44.003        44.946
  293  -0.407     43.930441      6.607048        42.078        45.407
  294  -0.406     44.032947      6.650980        44.609        46.105
  295  -0.405     44.846183      6.695325        41.705        47.114
  296  -0.404     47.460064      6.741294        44.149        48.385
  297  -0.403     51.426880      6.790736        54.655        49.729
  298  -0.402     53.717690      6.843562        59.148        50.913
  299  -0.401     53.205124      6.897190        53.002        51.829
  300  -0.400     51.991683      6.949755        50.982        52.568
  301  -0.399     51.638599      7.001467        49.413        53.321
  302  -0.398     52.868647      7.053566        49.993        54.208
  303  -0.397     55.674455      7.107758        55.744        55.196
  304  -0.396     57.971588      7.164749        63.771        56.138
  305  -0.395     57.968829      7.222867        57.156        56.900
  306  -0.394     58.062126      7.280734        53.453        57.426
  307  -0.393     59.786713      7.339596        61.672        57.664
  308  -0.392     60.673969      7.400010        65.608        57.522
  309  -0.391     59.200476      7.460113        59.462        56.950
  310  -0.390     56.817984      7.518119        56.039        56.020
  311  -0.389     54.715509      7.573856        54.540        54.889
  312  -0.388     53.079141      7.627698        51.663        53.708
  313  -0.387     52.268941      7.680303        51.139        52.558
  314  -0.386     51.626024      7.732304        54.762        51.453
  315  -0.385     50.131559      7.783234        48.891        50.390
  316  -0.384     48.725549      7.832615        48.281        49.396
  317  -0.383     47.625025      7.880790        47.982        48.522
  318  -0.382     46.660787      7.927900        45.673        47.804
  319  -0.381     46.259753      7.974299        45.044        47.241
  320  -0.380     47.047394      8.020825        43.900        46.752
  321  -0.379     48.342674      8.068610        54.172        46.190
  322  -0.378     47.134611      8.116616        50.742        45.444
  323  -0.377     44.092286      8.162235        40.252        44.556
  324  -0.376     42.088330      8.205198        41.392        43.701
  325  -0.375     41.104507      8.246749        40.726        43.060
  326  -0.374     40.706318      8.287591        39.508        42.728
  327  -0.373     41.304922      8.328496        39.121        42.689
  328  -0.372     43.077202      8.370611        42.773        42.815
  329  -0.371     44.842994      8.414654        47.636        42.907
  330  -0.370     44.990772      8.459742        47.844        42.807
  331  -0.369     43.016220      8.503911        45.422        42.511
  332  -0.368     40.207580      8.545471        36.488        42.197
  333  -0.367     39.265710      8.584978        35.226        42.082
  334  -0.366     40.965997      8.624910        38.901        42.249
  335  -0.365     43.614175      8.667248        47.537        42.593
  336  -0.364     44.198589      8.711412        48.945        42.956
  337  -0.363     42.592469      8.754868        39.894        43.299
  338  -0.362     41.870201      8.796921        38.372        43.709
  339  -0.361     43.508802      8.839423        40.862        44.238
  340  -0.360     46.333791      8.884361        49.317        44.800
  341  -0.359     47.384582      8.931476        52.834        45.257
